,book_name,Ganer,rating,rating_count,pages,price,Author
1,Pig the Pug,"Picture Books, Childrens Fiction",4.16,3478,24,89.42,Anne Rice
2,Pig the Elf,"Picture Books, Childrens Fiction",3.96,1209,24,88.30,Anne Rice
3,Alien vs Bad Guys (the Bad Guys: Episode 6),"Childrens Books, Funny Books for Kids",4.41,3193,144,87.39,Anne Rice
5,The Bad Guys in the Others?! (the Bad Guys #16),"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids, English Language: Reading Schemes",4.15,282,192,40.87,Anne Rice
6,Do-You-Think-He-Saurus?! (the Bad Guys: Episode 7),"Childrens Books, Funny Books for Kids",4.39,2732,160,87.39,Anne Rice
7,Pig the Winner,"Picture Books, Childrens Fiction",4.02,1262,24,89.42,Anne Rice
8,Pearl Barley & Charlie Parsley,"Storybooks, Childrens Fiction",4.02,457,32,80.00,Anne Rice
9,Pig the Star,"Storybooks, Childrens Fiction",4.06,882,24,89.42,Anne Rice
10,Don'T Call Me Bear,"Picture Books, Childrens Fiction",3.92,890,24,89.42,Anne Rice
11,Intergalactic Gas (the Bad Guys: Episode 5),Funny Books for Kids,4.4,3511,144,87.39,Anne Rice
12,Pig the Grub,"Picture Books, Childrens Fiction",4.07,968,24,89.42,Anne Rice
13,I Need a Hug,"Picture Books, Childrens Fiction",3.98,1433,24,89.42,Anne Rice
14,The Big Bad Wolf (the Bad Guys: Episode 9),"Childrens Books, Funny Books for Kids",4.35,2452,144,87.39,Anne Rice
15,Thelma the Unicorn with Unicorn Horn,"Picture Books, Childrens Fiction, Funny Books for Kids",4.2,2096,28,89.42,Anne Rice
16,The Bad Guys in They'Re Bee-Hind You! (the Bad Guys #14) : Volume 14,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.28,863,192,44.38,Anne Rice
17,The Baddest Day Ever (the Bad Guys: Episode 10),"Childrens Books, Funny Books for Kids",4.43,2125,176,87.39,Anne Rice
18,Pig The Tourist,"Picture Books, Childrens Fiction, Animal Stories, Funny Books for Kids",3.92,591,24,89.31,Anne Rice
19,The Bad Guys in Open Wide and Say Arrrgh|,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.22,571,192,39.17,Anne Rice
20,The Bad Guys in the Baddest Day Ever (the Bad Guys #10) : Volume 10,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.43,2125,176,38.21,Anne Rice
22,Attack of the Zittens (the Bad Guys: Episode 4),"Adventure Books for Kids, Funny Books for Kids",4.36,4206,144,87.39,Anne Rice
23,The Bad Guys. Superbad #8,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.39,2606,144,37.72,Anne Rice
24,Pig the Fibber,"Picture Books, Childrens Fiction",4.13,1068,28,89.42,Anne Rice
25,Superbad (the Bad Guys: Episode 8),"Childrens Books, Funny Books for Kids",4.39,2556,144,87.39,Anne Rice
27,The Furball Strikes Back (the Bad Guys: Episode 3),"Adventure Books for Kids, Funny Books for Kids",4.37,4462,144,87.39,Anne Rice
29,"BAD GUYS, THE / VOL. 1","Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.2,13532,138,37.84,Aaron Blabey
32,The Bad Guys in Cut to the Chase (the Bad Guys #13) : Volume 13,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.29,957,192,41.56,Aaron Blabey
